orgName,siteName,siteId,monitorBrand,monitorType,monitorName,monitorId,assetType,assetModel,assetSn,dcSize,acSize,diagnoId,installDate,faultCode,faultName,faultStartdate,faultEnddate,
Bathurst Regional Council,Bathurst Scallywags,6663ac6e-2c12-4305-9633-4f708f644940,solarAnalytics,Third-Party,Scally wags Bathurst,233005,Smart Meter,NaN,NaN,18.44,NaN,233005,NaN,L1F011,Non-Zero Tripping,2022/12/13,2022/12/18,
Canterbury-Bankstown Council,CBC - Belmore Senior Centre,28b0c20c-918a-47f3-8b59-e561f5ad58fa,sma,Proprietary,CBC - Belmore Senior Centre,10fd749f-e6d8-49b9-8b74-254317cc9546,Inverter,STP 12000TL-20,305049804,12.28,12000,10fd749f-e6d8-49b9-8b74-254317cc9546,2018-02-28 0:00:00,L1F004,Recurring Underperformance,2022/11/06,2022/11/10,
Inner West Council,Blackmore Oval,4dddc226-3464-4c95-aded-875e490a2f02,wattwatchers,Third-Party,Blackmore Oval,DDF4108112291,Smart Meter,NaN,NaN,9.36,NaN,WAEY-EMEM-5PU2-VDX4,NaN,L1F004,Recurring Underperformance,2022/06/06,2022/06/15,
Inner West Council,Blackmore Oval,4dddc226-3464-4c95-aded-875e490a2f02,wattwatchers,Third-Party,Blackmore Oval,DDF4108112291,Smart Meter,NaN,NaN,9.36,NaN,WAEY-EMEM-5PU2-VDX4,NaN,L1F011,Non-Zero Tripping,2022/09/16,2022/09/20,
Property NSW,Botany - 5-9 Lord Street (39kW) (SNSW),859a3a73-00df-4b8e-8192-7d64af4f001e,solaredge,Proprietary,NaN,NaN,Inverter,NaN,NaN,39.56,NaN,131D-ETNV-Y4WS-YNDK,NaN,L1F004,Recurring Underperformance,2022/06/08,2022/06/14,
Cathodic Anodes Australasia,CAA,83d125f1-0364-49a8-9b34-ad8053aa99e0,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,86,NaN,287268,NaN,L1F011,Non-Zero Tripping,2023/01/06,2023/01/11,
Sydney LHD,Canterbury Hospital,e7e75a8e-f669-4f81-9903-fb43205fcc69,solaredge,Proprietary,NaN,NaN,Inverter,NaN,NaN,551.86,NaN,P3KK-7W31-2WYQ-HZIX,NaN,L1F011,Non-Zero Tripping,2022/01/26,2022/01/31,
Property NSW,PNSW - 130 Johnston St Casino,808889a5-ee9e-47b1-971e-5cb09b1026a6,fronius,Proprietary,PNSW - 130 Johnston St Casino,38adba3c-c409-4549-a03a-ad4b0008583f,Inverter,Fronius Symo 15.0-3-M,31450136,16.16,15000,38adba3c-c409-4549-a03a-ad4b0008583f,2021-06-18 0:00:00,L1F011,Non-Zero Tripping,2022/11/20,2022/11/25,
Inner West Council,Cavendish Street ELC,80aa29c1-e8a9-4194-b1ff-20998a06eb4a,wattwatchers,Third-Party,Cavendish Street ELC,DDE4108191371,Smart Meter,NaN,NaN,5,NaN,T6OM-8T9V-DW94-DCOY,NaN,L1F004,Recurring Underperformance,2023/05/19,2023/05/24,
Inner West Council,Cavendish Street ELC,80aa29c1-e8a9-4194-b1ff-20998a06eb4a,wattwatchers,Third-Party,Cavendish Street ELC,DDE4108191371,Smart Meter,NaN,NaN,5,NaN,T6OM-8T9V-DW94-DCOY,NaN,L1F011,Non-Zero Tripping,2022/01/26,2022/01/31,
Bathurst Regional Council,Central Tablelands Collection Facility,5eace013-ae4b-4bc5-a412-2df20a956941,solarAnalytics,Third-Party,Central Tablelands Collection Facility,316268,Smart Meter,NaN,NaN,99.9,NaN,316268,NaN,L1F011,Non-Zero Tripping,2022/12/13,2022/12/18,
Campbelltown Council,Civic Centre,1344340,fimer,Proprietary,Campbelltown Civic Centre,1344416,Inverter,TRIO 27.6 TL OUTD,027565-3M22-2812,33,27600,1344416,2013-03-25 13:00:00,L1F004,Recurring Underperformance,2022/06/08,2022/06/15,
Campbelltown Council,Civic Centre,1344340,fimer,Proprietary,Campbelltown Civic Centre,1344456,Inverter,TRIO 27.6 TL OUTD,027549-3M22-2812,33,27600,1344456,2013-03-25 13:00:00,L1F004,Recurring Underperformance,2022/06/08,2022/06/15,
Campbelltown Council,Wombat Willows ELC,d471d58d-c29a-4706-96ba-b23446c7451b,fronius,Proprietary,Wombat Willows ELC,52d26d02-4b0e-4452-a265-5a228e704d08,Inverter,Fronius Primo 8.2-1,32257751,8.2,8200,52d26d02-4b0e-4452-a265-5a228e704d08,2022-01-09 21:23:59,L1F011,Non-Zero Tripping,2022/09/19,2022/9/21,
Campbelltown Council,Wombat Willows ELC,d471d58d-c29a-4706-96ba-b23446c7451b,fronius,Proprietary,Wombat Willows ELC,8a354adb-5450-43ad-98f3-39ab217f3aa4,Inverter,Fronius Primo 8.2-1,32257757,8.2,8200,8a354adb-5450-43ad-98f3-39ab217f3aa4,2022-01-09 21:23:59,L1F004,Recurring Underperformance,2022/09/19,2022/9/21,
Campbelltown City Council,Wombat Willows ELC,d471d58d-c29a-4706-96ba-b23446c7451b,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,L1F005,Major Underperformance,2022/08/02,2022/09/28,
City of Canada Bay Council,Concord Library,3ef52e1a-2a5b-4908-a0f6-8da81b47568d,switchdin,Third-Party,NaN,NaN,Gateway,NaN,NaN,56.4,NaN,0001c02a59f4,NaN,L1F011,Non-Zero Tripping,2022/02/13,2022/02/18,
City of Canada Bay Council,Concord Library,3ef52e1a-2a5b-4908-a0f6-8da81b47568d,switchdin,Third-Party,NaN,NaN,Gateway,NaN,NaN,56.4,NaN,0001c02a59f4,NaN,L1F002,Generation Clipping,2022/11/22,2022/11/26,
Lachlan Shire Council,Condo STP,8bff5519-cd7e-4aac-9fd6-9780fe25e5d6,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,27,NaN,285601,NaN,L1F002,Generation Clipping,2023/01/06,2023/01/11,
Lachlan Shire Council,Condo STP,8bff5519-cd7e-4aac-9fd6-9780fe25e5d6,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,27,NaN,285601,NaN,L1F011,Non-Zero Tripping,2022/02/05,2022/02/09,
Property NSW,PNSW Cootamundra,eb1c1625-ec6c-4274-a104-718587a68f7a,fronius,Proprietary,PNSW Cootamundra,2cfcf30b-a85e-4ec3-a2e1-2913da28c8f8,Inverter,FRONIUS Eco 27.0-3-S,31040931,27,27000,2cfcf30b-a85e-4ec3-a2e1-2913da28c8f8,2020-06-30 0:00:00,L1F011,Non-Zero Tripping,2022/11/28,2022/12/04,
Woolworths,DM NSW 1151 Glendale,1126699,sungrow,Proprietary,DM NSW 1151 Glendale,1126699_1_2_1,Inverter,SG30CX,A2010232706,36,30000,1126699_1_2_1,2022-01-13 9:23:02,L1F004,Recurring Underperformance,2023/05/19,2023/05/23,
Woolworths,DM NSW 1151 Glendale,1126699,sungrow,Proprietary,DM NSW 1151 Glendale,1126699_1_2_1,Inverter,SG30CX,A2010232706,36,30000,1126699_1_2_1,2022-01-13 9:23:02,L1F011,Non-Zero Tripping,2023/04/24,2023/04/28,
Woolworths,DM NSW 1246 Richmond,6054233,sma,Proprietary,DM NSW 1246 Richmond,6054240,Inverter,STP 20000TL-30,1980408381,23.26,20000,6054240,2020-12-07 0:00:00,L1F002,Generation Clipping,2022/11/20,2022/11/25,
Woolworths,DM NSW 1246 Richmond,6054233,sma,Proprietary,DM NSW 1246 Richmond,6054241,Inverter,STP 15000TL-30,1901399951,17.44,15000,6054241,2020-12-07 0:00:00,L1F004,Recurring Underperformance,2023/05/20,2023/05/24,
Woolworths,DM NSW 1390 Narellan,1699972,sma,Proprietary,DM NSW 1390 Narellan,1699983,Inverter,STP 25000TL-30,1901295215,27.77,25000,1699983,2019-09-02 0:00:00,L1F011,Non-Zero Tripping,2022/11/05,2022/11/10,
Woolworths,DM NSW 1441 Wagga,965895,sma,Proprietary,DM NSW 1441 Wagga,1041612,Inverter,STP 15000TL-30,1901320532,16.65,15000,1041612,2019-05-15 0:00:00,L1F011,Non-Zero Tripping,2023/02/13,2023/02/18,
Woolworths,DM NSW 1490 Figtree Cellars,1154867,sungrow,Proprietary,DM NSW 1490 Figtree Cellars,1154867_1_1_1,Inverter,SG30CX,A2231147605,30.8,30000,1154867_1_1_1,2022-07-08 14:17:24,L1F011,Non-Zero Tripping,2022/11/17,2022/11/21,
Woolworths,DM NSW 1657 Queanbeyan,2262114,sma,Proprietary,DM NSW 1657 Queanbeyan,2518865,Inverter,STP 15000TL-30,1901320490,16.66,15000,2518865,2019-11-01 0:00:00,L1F004,Recurring Underperformance,2023/03/15,2023/03/19,
Woolworths,DM NSW 1657 Queanbeyan,2262114,sma,Proprietary,DM NSW 1657 Queanbeyan,2518864,Inverter,STP 25000TL-30,1901295043,27.77,25000,2518864,2019-11-01 0:00:00,L1F011,Non-Zero Tripping,2022/12/13,2022/12/18,
Woolworths,DM NSW 1801 Wentworthville,5380159,sma,Proprietary,DM NSW 1801 Wentworthville,5380167,Inverter,STP 25000TL-30,1901365437,89.9,25000,5380167,2020-07-13 0:00:00,L1F011,Non-Zero Tripping,2022/11/05,2022/11/10,
Woolworths,DM NSW 1822 Bathurst,8336791,sma,Proprietary,DM NSW 1822 Bathurst,8336807,Inverter,STP 110-60,A20B2704554,99.9,110000,8336807,2022-06-15 0:00:00,L1F011,Non-Zero Tripping,2022/12/13,2022/12/18,
Woolworths,DM NSW 1871 Armidale,4000735,sma,Proprietary,DM NSW 1871 Armidale,4000767,Inverter,STP 25000TL-30,1901364911,28.17,25000,4000767,2020-03-20 0:00:00,L1F011,Non-Zero Tripping,2022/12/16,2022/12/21,
Lachlan Shire Council,LSC Caravan Park,e7dd02cf-bcfd-4e53-948d-6e794dd03817,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,40.26,NaN,288122,NaN,L1F005,Major Underperformance,2023/04/18,2023/06/05,
Lachlan Shire Council,LSC Caravan Park,e7dd02cf-bcfd-4e53-948d-6e794dd03817,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,40.26,NaN,288122,NaN,L1F011,Non-Zero Tripping,2023/01/03,2023/01/15,
Lachlan Shire Council,LSC Lake Cargelligo Library,665dff92-8724-45c9-999b-6479478ee16e,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,10.36,NaN,288230,NaN,L1F006,Minor Underperformance,2023/05/10,2023/05/25,
Lachlan Shire Council,LSC Lake Cargelligo Library,665dff92-8724-45c9-999b-6479478ee16e,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,10.36,NaN,288230,NaN,L1F009,Winter Underperformance,2022/01/01,2022/12/31,
Lachlan Shire Council,LSC Lake Cargelligo Library,665dff92-8724-45c9-999b-6479478ee16e,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,10.36,NaN,288230,NaN,L1F011,Non-Zero Tripping,2022/11/20,2022/11/24,
Lachlan Shire Council,LSC Condobolin Swimming Pool,650f44fa-b429-4ba9-b9ff-cb71b4ecfeb6,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,37,NaN,287852,NaN,L1F005,Major Underperformance,2022/08/10,2022/09/06,
Lachlan Shire Council,LSC Condobolin Swimming Pool,650f44fa-b429-4ba9-b9ff-cb71b4ecfeb6,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,37,NaN,287852,NaN,L1F006,Minor Underperformance,2022/06/25,2022/07/14,
Lachlan Shire Council,LSC Condobolin Swimming Pool,650f44fa-b429-4ba9-b9ff-cb71b4ecfeb6,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,37,NaN,287852,NaN,L1F011,Non-Zero Tripping,2022/07/06,2022/07/17,
Lachlan Shire Council,LSC Condobolin Swimming Pool,650f44fa-b429-4ba9-b9ff-cb71b4ecfeb6,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,37,NaN,287852,NaN,L1F002,Generation Clipping,2022/12/16,2022/12/21,
Lachlan Shire Council,LSC Library,2af8ed27-f108-481d-ba30-774d2b152e08,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,15.54,NaN,282467,NaN,L1F005,Major Underperformance,2022/12/24,2023/01/01,
Lachlan Shire Council,LSC Library,2af8ed27-f108-481d-ba30-774d2b152e08,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,15.54,NaN,282467,NaN,L1F006,Minor Underperformance,2022/10/14,2022/11/03,
Lachlan Shire Council,LSC Childrens Services,903573f1-0fcf-4e3b-83b1-81acf364cf2c,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,13.86,NaN,282136,NaN,L1F004,Recurring Underperformance,2022/05/08,2022/05/07,
Lachlan Shire Council,LSC Childrens Services,903573f1-0fcf-4e3b-83b1-81acf364cf2c,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,13.86,NaN,282136,NaN,L1F004,Recurring Underperformance,2023/05/08,2023/05/12,
Lachlan Shire Council,LSC Childrens Services,903573f1-0fcf-4e3b-83b1-81acf364cf2c,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,13.86,NaN,282136,NaN,L1F009,Winter Underperformance,2022/01/01,2022/12/31,
Lachlan Shire Council,LSC Childrens Services,903573f1-0fcf-4e3b-83b1-81acf364cf2c,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,13.86,NaN,282136,NaN,L1F006,Minor Underperformance,2023/05/13,2023/05/24,
Lachlan Shire Council,Lake Cargelligo Pool,c9ecc957-82fa-481b-8038-5c56f6d7bd87,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,39.6,NaN,301082,NaN,L1F009,Winter Underperformance,2022/01/01,2022/12/31,
Lachlan Shire Council,Lake Cargelligo Pool,c9ecc957-82fa-481b-8038-5c56f6d7bd87,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,39.6,NaN,301082,NaN,L1F006,Minor Underperformance,2022/05/23,2022/07/12,
Lachlan Shire Council,Lake Cargelligo Pool,c9ecc957-82fa-481b-8038-5c56f6d7bd87,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,39.6,NaN,301082,NaN,L1F002,Generation Clipping,2022/02/11,2022/02/16,
Lachlan Shire Council,Lachlan Shire Council Admin Building,b27b7e74-675b-43ee-aed1-878c5fec1cf9,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,39.6,NaN,295706,NaN,L1F005,Major Underperformance,2021/09/23,2021/10/09,
Lachlan Shire Council,Lachlan Shire Council Admin Building,b27b7e74-675b-43ee-aed1-878c5fec1cf9,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,39.6,NaN,295706,NaN,L1F002,Generation Clipping,2022/02/11,2022/02/16,
Inner West Council,Annandale CC,48053c86-8cb3-44e3-8647-0af3bde8bab9,wattwatchers,Third-Party,Annandale CC,DDC4108188093,Smart Meter,NaN,NaN,2.16,NaN,Z23P-Q4S3-Y75B-RGGS,NaN,L1F005,Major Underperformance,2021/02/24,2021/08/11,
Inner West Council,Annandale CC,48053c86-8cb3-44e3-8647-0af3bde8bab9,wattwatchers,Third-Party,Annandale CC,DDC4108188093,Smart Meter,NaN,NaN,2.16,NaN,Z23P-Q4S3-Y75B-RGGS,NaN,L1F006,Minor Underperformance,2021/08/30,2021/09/25,
Inner West Council,Ashfield Aquatic Centre,8605e2ac-7140-477c-b3ee-b6532507340d,wattwatchers,Third-Party,Ashfield Aquatic Centre Solar,DD34108383948,Smart Meter,NaN,NaN,250,NaN,AQ5K-XBBN-WLBA-HZN2,NaN,L1F005,Major Underperformance,2022/06/16,2022/07/07,
Inner West Council,Ashfield Aquatic Centre,8605e2ac-7140-477c-b3ee-b6532507340d,wattwatchers,Third-Party,Ashfield Aquatic Centre Solar,DD34108383948,Smart Meter,NaN,NaN,250,NaN,AQ5K-XBBN-WLBA-HZN2,NaN,L1F006,Minor Underperformance,2021/07/29,2022/03/10,
Inner West Council,Balmain Depot,d122a439-d614-4b6d-bf38-198288b81888,wattwatchers,Third-Party,Balmain depot.,DD94108188512,Smart Meter,NaN,NaN,13,NaN,7DHI-9YU5-U3WD-48XE,NaN,L1F005,Major Underperformance,2022/06/17,2022/07/18,
Inner West Council,Balmain Depot,d122a439-d614-4b6d-bf38-198288b81888,wattwatchers,Third-Party,Balmain depot.,DD94108188512,Smart Meter,NaN,NaN,13,NaN,7DHI-9YU5-U3WD-48XE,NaN,L1F006,Minor Underperformance,2022/11/06,2023/04/19,
Woolworths,DM VIC 3973 Wangaratta,1164283,sungrow,Proprietary,DM VIC 3973 Wangaratta,1164283_1_1_1,Inverter,SG110CX,A2182504015,93.38,110000,1164283_1_1_1,2022-08-26 13:11:18,L1F011,Non-Zero Tripping,2022/11/26,2022/12/02,
Woolworths,DM WA 4258 Wanneroo,2324392,sma,Proprietary,DM WA 4258 Wanneroo,2324395,Inverter,STP 20000TL-30,1901320701,23.29,20000,2324395,2019-11-07 0:00:00,L1F011,Non-Zero Tripping,2022/12/14,2022/12/19,
Woolworths,DM WA 4613 Butler,3760248,sma,Proprietary,DM WA 4613 Butler,3760269,Inverter,STP 25000TL-30,1901301381,28.6,25000,3760269,2020-03-04 0:00:00,L1F011,Non-Zero Tripping,2022/12/06,2022/12/10,
Inner West Council,Deborah Little ELC,5125d005-e4bd-4a69-9e20-558bd67ade6a,wattwatchers,Third-Party,Deborah Little Rear Building,DDE4108112494,Smart Meter,NaN,NaN,6,NaN,EY23-83LN-QK8Y-G8AE,NaN,L1F004,Recurring Underperformance,2022/06/08,2022/06/12,
Inner West Council,Deborah Little ELC,5125d005-e4bd-4a69-9e20-558bd67ade6a,wattwatchers,Third-Party,Deborah Little Rear Building,DDE4108112494,Smart Meter,NaN,NaN,6,NaN,EY23-83LN-QK8Y-G8AE,NaN,L1F002,Generation Clipping,2022/11/05,2022/11/10,
Newcastle City Council,Depot,217fa925-44c7-4d96-aef2-18b2cf91f7c1,switchdin,Third-Party,NaN,NaN,Gateway,NaN,NaN,91.26,NaN,0001c027d731,NaN,L1F004,Recurring Underperformance,2023/05/19,2023/05/24,
Bathurst Regional Council,Bathurst Depot,1717967,fimer,Proprietary,Bathurst Regional Council,1719202,Inverter,TRIO 27.6 TL OUTD,128715-3M22-2213,27,27600,1719202,2013-08-22 7:00:00,L1F011,Non-Zero Tripping,2022/12/13,2022/12/18,
Lake Macquarie City Council,Depot Civilake,f1c8fdef-d8f1-40e8-beaa-640742a8daa5,switchdin,Third-Party,NaN,NaN,Gateway,NaN,NaN,22.2,NaN,b827eb7ae4ca,NaN,L1F004,Recurring Underperformance,2023/06/14,2023/06/19,
Lachlan Shire Council,Lake WTP,47ac9316-ab36-401d-bdd0-874722497945,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,240,NaN,293028,NaN,L1F002,Generation Clipping,2022/11/28,2022/12/04,
Lachlan Shire Council,Lake WTP LGC\t,87465d41-e693-417a-abee-ac7ce6391f40,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,140,NaN,295222,NaN,L1F002,Generation Clipping,2022/03/18,2022/03/23,
Lachlan Shire Council,Lake WTP LGC\t,87465d41-e693-417a-abee-ac7ce6391f40,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,140,NaN,295222,NaN,L1F002,Generation Clipping,2023/02/14,2023/02/19,
Lachlan Shire Council,Lake WTP LGC\t,87465d41-e693-417a-abee-ac7ce6391f40,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,140,NaN,295222,NaN,L1F002,Generation Clipping,2022/09/29,2022/10/03,
Lachlan Shire Council,Lake WTP,47ac9316-ab36-401d-bdd0-874722497945,solarAnalytics,Third-Party,NaN,NaN,Smart Meter,NaN,NaN,240,NaN,293028,NaN,L1F013,Negative Generation,2023/02/21,2023/02/25,
